chi-0_fa,chi-1_fa,chi-2_fa,chi-3_fa,chi-4_fa,chi-5_fa,Z-0_fa,Z-1_fa,Z-2_fa,Z-3_fa,Z-4_fa,Z-5_fa,I-0_fa,I-1_fa,I-2_fa,I-3_fa,I-4_fa,I-5_fa,T-0_fa,T-1_fa,T-2_fa,T-3_fa,T-4_fa,T-5_fa,S-0_fa,S-1_fa,S-2_fa,S-3_fa,S-4_fa,S-5_fa,chi-0_ma,chi-1_ma,chi-2_ma,chi-3_ma,chi-4_ma,chi-5_ma,Z-0_ma,Z-1_ma,Z-2_ma,Z-3_ma,Z-4_ma,Z-5_ma,I-0_ma,I-1_ma,I-2_ma,I-3_ma,I-4_ma,I-5_ma,T-0_ma,T-1_ma,T-2_ma,T-3_ma,T-4_ma,T-5_ma,S-0_ma,S-1_ma,S-2_ma,S-3_ma,S-4_ma,S-5_ma,chi-0_md,chi-1_md,chi-2_md,chi-3_md,chi-4_md,chi-5_md,Z-0_md,Z-1_md,Z-2_md,Z-3_md,Z-4_md,Z-5_md,I-0_md,I-1_md,I-2_md,I-3_md,I-4_md,I-5_md,T-0_md,T-1_md,T-2_md,T-3_md,T-4_md,T-5_md,S-0_md,S-1_md,S-2_md,S-3_md,S-4_md,S-5_md,distance,barrier,smiles,filename
271.4006,564.775,1031.2006,1395.6522,1972.4306,2482.2086,6923.0,7298.0,10116.0,12454.0,8122.0,4844.0,46.0,92.0,176.0,238.0,332.0,420.0,268.0,692.0,1042.0,1390.0,1574.0,1454.0,17.0209,44.4116,72.03699999999998,98.2048,122.7906,123.6412,271.4006,564.775,1031.2006,1395.6522,1972.4306,2482.2086,6923.0,7298.0,10116.0,12454.0,8122.0,4844.0,46.0,92.0,176.0,238.0,332.0,420.0,268.0,692.0,1042.0,1390.0,1574.0,1454.0,17.0209,44.4116,72.03699999999998,98.2048,122.7906,123.6412,271.4006,564.775,1031.2006,1395.6522,1972.4306,2482.2086,6923.0,7298.0,10116.0,12454.0,8122.0,4844.0,46.0,92.0,176.0,238.0,332.0,420.0,268.0,692.0,1042.0,1390.0,1574.0,1454.0,17.0209,44.4116,72.03699999999998,98.2048,122.7906,123.6412,0.9348,14.8,[Ir]([P+](CC)(CC)CC)([C-]1N(C)CCN(C)1)(C#[O+])(N=C=O)[H],ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-icn_1_smi1_1_s_1
224.3694,482.135,884.7308,1137.1092,1673.2128,1550.3932,6811.0,5588.0,8986.0,10374.0,5364.0,3814.0,38.0,76.0,142.0,186.0,286.0,252.0,218.0,556.0,858.0,1078.0,1094.0,1024.0,14.5337,36.1862,57.4704,79.2868,92.0554,82.63799999999998,224.3694,482.135,884.7308,1137.1092,1673.2128,1550.3932,6811.0,5588.0,8986.0,10374.0,5364.0,3814.0,38.0,76.0,142.0,186.0,286.0,252.0,218.0,556.0,858.0,1078.0,1094.0,1024.0,14.5337,36.1862,57.4704,79.2868,92.0554,82.63799999999998,224.3694,482.135,884.7308,1137.1092,1673.2128,1550.3932,6811.0,5588.0,8986.0,10374.0,5364.0,3814.0,38.0,76.0,142.0,186.0,286.0,252.0,218.0,556.0,858.0,1078.0,1094.0,1024.0,14.5337,36.1862,57.4704,79.2868,92.0554,82.63799999999998,0.9699,12.4,[Ir]([N+](C)(C)C)([C-]1N(C)CCN(C)1)(C#[N+][H])(N=C=S)[H],ir_tbp_1_dft-nme3_1_dft-sime_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1
305.232,670.6139999999998,1125.6584,1522.5118,1856.8504,2402.9954,7215.0,8080.0,11196.0,13816.0,13400.0,11216.0,51.0,108.0,184.0,258.0,310.0,390.0,292.0,762.0,1172.0,1452.0,1702.0,1972.0,21.8694,56.4396,89.7068,117.5974,140.65200000000002,164.6612,305.232,670.6139999999998,1125.6584,1522.5118,1856.8504,2402.9954,7215.0,8080.0,11196.0,13816.0,13400.0,11216.0,51.0,108.0,184.0,258.0,310.0,390.0,292.0,762.0,1172.0,1452.0,1702.0,1972.0,21.8694,56.4396,89.7068,117.5974,140.65200000000002,164.6612,305.232,670.6139999999998,1125.6584,1522.5118,1856.8504,2402.9954,7215.0,8080.0,11196.0,13816.0,13400.0,11216.0,51.0,108.0,184.0,258.0,310.0,390.0,292.0,762.0,1172.0,1452.0,1702.0,1972.0,21.8694,56.4396,89.7068,117.5974,140.65200000000002,164.6612,0.9983,5.2,[Ir]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([N+]1=COCC1)(C#[N+][H])(C#N)[H],ir_tbp_1_dft-pph3_1_dft-oxaz_1_dft-hicn_1_dft-cn_1_smi1_1_s_1
171.9665,354.089,617.2588,837.7394,1186.002,751.202,6893.0,8358.0,8314.0,6874.0,4074.0,1808.0,29.0,58.0,104.0,138.0,206.0,124.0,162.0,410.0,620.0,720.0,610.0,472.0,12.4648,31.8018,49.8734,63.0708,63.2648,42.1078,171.9665,354.089,617.2588,837.7394,1186.002,751.202,6893.0,8358.0,8314.0,6874.0,4074.0,1808.0,29.0,58.0,104.0,138.0,206.0,124.0,162.0,410.0,620.0,720.0,610.0,472.0,12.4648,31.8018,49.8734,63.0708,63.2648,42.1078,171.9665,354.089,617.2588,837.7394,1186.002,751.202,6893.0,8358.0,8314.0,6874.0,4074.0,1808.0,29.0,58.0,104.0,138.0,206.0,124.0,162.0,410.0,620.0,720.0,610.0,472.0,12.4648,31.8018,49.8734,63.0708,63.2648,42.1078,0.9353,10.5,[Ir]([n+]1ccncc1)([P+](C)(C)C)(C#[N+][H])([Cl])[H],ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_chloride_1_smi1_1_s_1
221.8709,472.145,822.1272,1033.6916,1544.7814,1473.76,6755.0,6844.0,9234.0,9142.0,5510.0,3208.0,39.0,78.0,142.0,174.0,272.0,248.0,220.0,546.0,812.0,1026.0,1088.0,1092.0,14.8146,38.7222,60.648,78.1554,91.8444,83.37100000000002,221.8709,472.145,822.1272,1033.6916,1544.7814,1473.76,6755.0,6844.0,9234.0,9142.0,5510.0,3208.0,39.0,78.0,142.0,174.0,272.0,248.0,220.0,546.0,812.0,1026.0,1088.0,1092.0,14.8146,38.7222,60.648,78.1554,91.8444,83.37100000000002,221.8709,472.145,822.1272,1033.6916,1544.7814,1473.76,6755.0,6844.0,9234.0,9142.0,5510.0,3208.0,39.0,78.0,142.0,174.0,272.0,248.0,220.0,546.0,812.0,1026.0,1088.0,1092.0,14.8146,38.7222,60.648,78.1554,91.8444,83.37100000000002,0.931,9.4,[Ir]([P+](C)(C)C)([C-]1N(C)C=CN(C)1)(C#[N+]C)(C#C[H])[H],ir_tbp_1_dft-pme3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1
221.8777,464.11,820.971,1172.4658,1556.746,1822.828,6977.0,8510.0,9184.0,9768.0,6780.0,3358.0,39.0,78.0,144.0,206.0,270.0,322.0,222.0,578.0,862.0,1118.0,1188.0,976.0,15.2629,39.6606,63.5828,85.1068,98.3008,90.2476,221.8777,464.11,820.971,1172.4658,1556.746,1822.828,6977.0,8510.0,9184.0,9768.0,6780.0,3358.0,39.0,78.0,144.0,206.0,270.0,322.0,222.0,578.0,862.0,1118.0,1188.0,976.0,15.2629,39.6606,63.5828,85.1068,98.3008,90.2476,221.8777,464.11,820.971,1172.4658,1556.746,1822.828,6977.0,8510.0,9184.0,9768.0,6780.0,3358.0,39.0,78.0,144.0,206.0,270.0,322.0,222.0,578.0,862.0,1118.0,1188.0,976.0,15.2629,39.6606,63.5828,85.1068,98.3008,90.2476,0.8562,8.9,[Ir]([P+](CC)(CC)CC)([n+]1ccccc1)(C#[O+])(S)[H],ir_tbp_1_dft-pet3_1_dft-py_1_dft-co_1_dft-sh_1_smi1_1_s_1
222.8531,458.44,829.2616,1119.3582,1633.1816,1496.9576,6809.0,7010.0,9480.0,9478.0,5590.0,3356.0,37.0,74.0,140.0,184.0,278.0,240.0,214.0,548.0,844.0,1048.0,1034.0,932.0,14.4208,37.4354,60.1246,79.2328,90.738,78.6124,222.8531,458.44,829.2616,1119.3582,1633.1816,1496.9576,6809.0,7010.0,9480.0,9478.0,5590.0,3356.0,37.0,74.0,140.0,184.0,278.0,240.0,214.0,548.0,844.0,1048.0,1034.0,932.0,14.4208,37.4354,60.1246,79.2328,90.738,78.6124,222.8531,458.44,829.2616,1119.3582,1633.1816,1496.9576,6809.0,7010.0,9480.0,9478.0,5590.0,3356.0,37.0,74.0,140.0,184.0,278.0,240.0,214.0,548.0,844.0,1048.0,1034.0,932.0,14.4208,37.4354,60.1246,79.2328,90.738,78.6124,0.9571,15.5,[Ir]([P+](C)(C)C)([C-]1N(C)CCN(C)1)(C#[O+])(N=C=O)[H],ir_tbp_1_dft-pme3_1_dft-sime_1_dft-co_1_dft-icn_1_smi1_1_s_1
274.5827,573.4,1040.725,1527.6048,2282.827,3006.89,7185.0,10164.0,11134.0,12778.0,8952.0,4514.0,51.0,100.0,194.0,282.0,412.0,554.0,294.0,770.0,1170.0,1660.0,2006.0,1886.0,17.9524,48.1952,80.5856,115.1492,148.6422,148.961,274.5827,573.4,1040.725,1527.6048,2282.827,3006.89,7185.0,10164.0,11134.0,12778.0,8952.0,4514.0,51.0,100.0,194.0,282.0,412.0,554.0,294.0,770.0,1170.0,1660.0,2006.0,1886.0,17.9524,48.1952,80.5856,115.1492,148.6422,148.961,274.5827,573.4,1040.725,1527.6048,2282.827,3006.89,7185.0,10164.0,11134.0,12778.0,8952.0,4514.0,51.0,100.0,194.0,282.0,412.0,554.0,294.0,770.0,1170.0,1660.0,2006.0,1886.0,17.9524,48.1952,80.5856,115.1492,148.6422,148.961,0.8328,4.1,[Ir]([P+](CC)(CC)CC)([P+](CC)(CC)CC)(C#[N+][H])(S)[H],ir_tbp_1_dft-pet3_1_dft-pet3_1_dft-hicn_1_dft-sh_1_smi1_1_s_1
228.5227,486.9394,853.5646,1112.0336,1336.6786,1522.638,6715.0,5692.0,9726.0,8984.0,6508.0,3794.0,36.0,74.0,132.0,172.0,210.0,238.0,206.0,526.0,780.0,948.0,988.0,864.0,14.6044,36.9594,58.492,73.2232,82.2966,79.1826,228.5227,486.9394,853.5646,1112.0336,1336.6786,1522.638,6715.0,5692.0,9726.0,8984.0,6508.0,3794.0,36.0,74.0,132.0,172.0,210.0,238.0,206.0,526.0,780.0,948.0,988.0,864.0,14.6044,36.9594,58.492,73.2232,82.2966,79.1826,228.5227,486.9394,853.5646,1112.0336,1336.6786,1522.638,6715.0,5692.0,9726.0,8984.0,6508.0,3794.0,36.0,74.0,132.0,172.0,210.0,238.0,206.0,526.0,780.0,948.0,988.0,864.0,14.6044,36.9594,58.492,73.2232,82.2966,79.1826,1.0356,9.0,[Ir]([n+]1ccccc1)([C-]1N(C)CCN(C)1)(C#[N+][H])([N+](=O)([O-]))[H],ir_tbp_1_dft-py_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1
202.3634,417.283,760.7412,1047.7958,1709.5022,1312.686,6647.0,6686.0,9562.0,6704.0,3536.0,1842.0,36.0,70.0,134.0,180.0,310.0,218.0,204.0,518.0,804.0,1018.0,986.0,806.0,13.0359,33.9858,55.3684,77.441,85.5226,65.568,202.3634,417.283,760.7412,1047.7958,1709.5022,1312.686,6647.0,6686.0,9562.0,6704.0,3536.0,1842.0,36.0,70.0,134.0,180.0,310.0,218.0,204.0,518.0,804.0,1018.0,986.0,806.0,13.0359,33.9858,55.3684,77.441,85.5226,65.568,202.3634,417.283,760.7412,1047.7958,1709.5022,1312.686,6647.0,6686.0,9562.0,6704.0,3536.0,1842.0,36.0,70.0,134.0,180.0,310.0,218.0,204.0,518.0,804.0,1018.0,986.0,806.0,13.0359,33.9858,55.3684,77.441,85.5226,65.568,0.8532,6.5,[Ir]([P+](C)(C)C)([N+](C)(C)C)(C#[N+]C)(C#N)[H],ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1
